"","x"
"1","poll85ofhispanics80ofafricanamericans80ofyoungpeopleamp75ofwomenviewdonaldtrumpunfavorablyt"
"2","richnazidonaldtrumpdonalddumptrumptrumptraintrumpfeartrumptownhallmakeamericagreatagainvotetrumpwitcoxgppysq51v"
"3","election2016presidentialelectionselfieofadonaldtrumpfreelifetcokoznvsv4lt"
"4","chalkandawewsjthechalkingfreespeechdonaldtrumpemorytcolwvdpxisei"
"5","haveyounoticedthataftereveryeventlawenforcementwantstoposewithdonaldtrumptellsyousomethingt"
"6","votefordonaldtrumptco1vhnucimhw"
"7","poll85ofhispanics80ofafricanamericans80ofyoungpeopleamp75ofwomenviewdonaldtrumpunfavorablyt"
"8","seriallyingtedalsoonashleymadisongoogleitfolkswecantmakethisuptco2woi2jmlwmdonaldtrumpt"
"9","hebronpurimbrusselsbelgiumhappyholiworkfromhomebiafragermanydonaldtrumpuntcoqd"
"10","afterseeingthisyoullnevervote4donaldtrumptcolan22obbytguyslikewillnevermake"
"11","breakingrncreleasesnewvideopushesrulechangetohelppartyelitesstealnominationtrumpdonaldtrumptc"
"12","seriallyingtedalsoonashleymadisongoogleitfolkswecantmakethisuptco2woi2jmlwmdonaldtrumpt"
"13","althoughsheworelipstickitwasntclearwhichonewasthepigdonaldtrumpnevertrumptcobkiruomomx"
"14","asgermanymerkelfloodeuropewmuslimstheeupatriotslooktoamericachantingdonaldtrumptrumptraindch"
"15","poll85ofhispanics80ofafricanamericans80ofyoungpeopleamp75ofwomenviewdonaldtrumpunfavorablyt"
"16","haveyounoticedthataftereveryeventlawenforcementwantstoposewithdonaldtrumptellsyousomethingt"
"17","asísaludanadonaldtrumptcozycxmw6snf"
"18","tcofrvpg0vecglyingtedbustedstealingagaindonaldtrumpdonaldjtrump"
"19","iamawomanandiamvotingfordonaldtrumpwomenfortrumptcokpudh31gvh"
"20","onmutebynopobeldonaldtrumphollywoodstreetartnorwaybydgradertcoekw043yi9o"
"21","donaldtrumphasrepublicansasconfusedasagoatonastroturf"
"22","tco4fl7wbhlmehotchickgetsadickhotchickgetsadickdonaldtrumptcolxjdauezst"
"23","eitherwayhewillbetherepublicannomineetoondonaldtrumpelection2016"
"24","beenwatchingthedonaldtrumpcampaignwithgreatinterestampwithanyelectionisearch4onewordtoexplaingulliblewisconsinprimary"
"25","haveyounoticedthataftereveryeventlawenforcementwantstoposewithdonaldtrumptellsyousomethingt"
"26","hesbeenappealingtovotersalloverthecountrybecausehesnotyouraveragepoliticiantoon"
"27","trumpmutedbypøbelonhollywoodboulevardstreetartdonaldtrumptco2zoxup0xyhtcokervmqjtnw"
"28","obrerocuelgabanderademéxicoenlomásaltodeedificiopropiedaddedonaldtrumptcomdf6pudhsgvía"
"29","theonlyprovenachieverstrongleaderampvoiceofthepeopleistheprodigiousdonaldtrumptrump2016wisconsinprimary"
"30","asísaludanadonaldtrumptcozycxmw6snf"
"31","at11amamp1pmestianchorwithontedcruzleadsdonaldtrumpinwisconsinprim"
"32","evenpeoplewhothoughtdonaldtrumpwasincrediblyoverratedthoughthehadsomethingwewerewronghisdumbhasnoflo"
"33","charleshurtdonaldtrumpscorinthiansmisquoteoverblownbymediadonaldtrumptcohaqv30j8jb"
"34","asgermanymerkelfloodeuropewmuslimstheeupatriotslooktoamericachantingdonaldtrumptrumptraindch"
"35","evenpeoplewhothoughtdonaldtrumpwasincrediblyoverratedthoughthehadsomethingwewerewronghisdumbhasnoflo"
"36","hereshowdonaldtrumpwilltreatelephantsifhewinsshamedumptrumpbantrophyhuntingopwhiterosetcoesyny8krbh"
"37","noideadonaldtrumphadastaronhollywoodblvdihavetotakeashitonitnowdonalddumptcokdnbmg3d5l"
"38","asísaludanadonaldtrumptcozycxmw6snf"
"39","evenpeoplewhothoughtdonaldtrumpwasincrediblyoverratedthoughthehadsomethingwewerewronghisdumbhasnofloorelection2016"
"40","tcodugxged3jqdonaldtrumpmakedonalddrumpfagainmakeamericahateagaintrump2016trumpfear"
"41","haveyounoticedthataftereveryeventlawenforcementwantstoposewithdonaldtrumptellsyousomethingt"
"42","donaldtrumptriestoburybadweekcampaignsasunderdogtcon8ao8slvxa"
"43","donaldtrumpsupportersdontmindwhateverlousypronouncementhemadeinthelasthoursolongashechangeshismindinthenextminute"
"44","torepublicansvotinginwisconsinifdonaldtrumpisnotagoodchoicetedcruzisevenworstbecausehewasntbornintheusa"
"45","thisphotofromofabirdnameddonaldtrumptco8f2nztkjlm"
"46","meanwhileinbergenmuteddonaldtrumppøbeltcowndxey1nm9"
"47","mexicanflagfliesfromthetopofvancouverstrumptowertcovdlx3tbgcgmexicodonaldtrumptrump"
"48","idontknowaboutyoubutdonaldtrumpisonfirerightnowheymsmbackfiredtrump2016tc"
"49","hesbeenappealingtovotersalloverthecountrybecausehesnotyouraveragepoliticiantoon"
"50","eitherwayhewillbetherepublicannomineetoondonaldtrumpelection2016"
"51","donaldtrumpihavetoputthisouttherethequestionaskedofdonaldtrumpwasshouldabortionbeillegalshouldawomanbepunished"
"52","donaldtrumpjaponyakendinikuzeykoremanyanakarkorumalgüneykoredekendinikorumayadevamedecektirtc"
"53","donaldtrumpisnothitlerhesmoreliketheleaderofthegermanamericanbundtcod9qhf30lgj"
"54","tcou87v2k6o2qmyentireacademiccareermeishouldhavedonethisearliermesweatsnervouslydonaldtrump"
"55","everytimeithinkofigettheshitsdonaldtrumpdonaldduckwhenitakeashitithinkoftedcruz2016"
"56","donaldtrumpsayshelleliminate19trilliondebtin8yearsmustbeanaprilfoolsjokeonevotedumptrumpnevertrump"
"57","tcofrvpg0vecglyingtedbustedstealingagaindonaldtrumpdonaldjtrumphannity"
"58","15friendlygesturesthatcreategoodkarmaandreaschulmantcoirh0oxcxytspiritualitydonaldtrumptco6cg0wwouqi"
"59","dontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdo"
"60","haveyounoticedthataftereveryeventlawenforcementwantstoposewithdonaldtrumptellsyousomethingt"
"61","hesbeenappealingtovotersalloverthecountrybecausehesnotyouraveragepoliticiantoon"
"62","ivegotsomethingstosayaboutdonaldtrumppleasesharertifyouagreetcogsrgwdwo6hpresidentiale"
"63","dontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdo"
"64","donaldtrumpclaimshecanturntheeconomyaroundhewentbankrupt4timesnotrumpsaynototrumppresidenttrump"
"65","prettymuchdonaldtrumptrumpnevertrumpdumptrumpelection2016tcooyamefk7ev"
"66","tcosmnwq6ndlpdonaldtrumppotus2016"
"67","incaseyouhaveforgottenvulgardonaldtrumphasinsultedwomenvetshispanicsmuslimsyouarenext"
"68","haveyounoticedthataftereveryeventlawenforcementwantstoposewithdonaldtrumptellsyousomethingt"
"69","hesbeenappealingtovotersalloverthecountrybecausehesnotyouraveragepoliticiantoon"
"70","climboffthedonaldtrumptrainandgetonthetruthtraingullibletcoaa1haepgyk"
"71","donaldtrumpintroducingthedonaldtrumpwhoopeecushionorderthishilariousgiftnowtco7ima9kaidhtcowrvje5rgre"
"72","tcoo3rnyq6ztfdonaldtrumpc4"
"73","dontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdo"
"74","wisconsinundecidedwhotovotefindoutwhotherealdonaldtrumpisattco9eur7qdsqdmilwaukee"
"75","donaldtrumpsnotonlyaracistsexisthomophobicxenophobicwomenhatingfascistalsoabadbizmanp2tcottcoagqunzcgwe"
"76","watchedadocumentaryabouthitlerscarythatdonaldtrumphasacollectionofhisspeechesreadyathandandmimics"
"77","eitherwayhewillbetherepublicannomineetoondonaldtrumpelection2016"
"78","willneverunderstandrobforddonaldtrumptcojukmdtprgzcdnpolitcob"
"79","lollovethisdonaldtrumpdumptrumpunitebluetopproglibcribp2tntweeterstcouibptfujn5"
"80","tntweetersainfdonaldtrumpwomenmustbepunishedforhvnganabortionnbdyrespectwomenmorethanidohtt"
"81","obrerocuelgabanderademéxicoenedificiodedonaldtrumpviralmundounobreroméxicocanadiensesubiótcoq8whtmzqjr"
"82","nazigovernmentebayitemswswastikavisitstoretco6jbtfjbjzydonaldtrumplovewarpeacesad"
"83","nazigovernmentebayitemswswastikavisitstoretco6jbtfjbjzydonaldtrumplovewarpeacesadbadnflnba"
"84","womenhaveaproblemwithdonaldtrumpanditshugetcowatd1jr00munitebluetntweetersfeelthebernhil"
"85","donaldtrumpreactstowinninglouisianabutcruzacquiringmoredelegatestcoqoebupj3gc"
"86","dontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdo"
"87","donaldtrumpsaysjustdepartinglacrossewisconsinthankyoutrump2016wiprimarytcowbfvogezu3"
"88","dontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdontvotefordonaldtrumpdo"
"89","donaldtrumpwantedmistresstohaveabortionbutbanamppunishamericanwomenwhochoosedumptrumpgoptcoge8tw0ro1h"
"90","haveyounoticedthataftereveryeventlawenforcementwantstoposewithdonaldtrumptellsyousomethingt"
"91","rtyouhavetothinkanywaysowhynotthinkbigdonaldtrump"
"92","donaldtrumpsayscongratulationsjimhermanweareallproudofyoutrumpgolftcoe5vuzczwit"
"93","howsaudiarabiaisbuyingpublicopinioninwashingtontcof2a1h7lefuliptvusasaudiarabiamediacamp"
"94","poll85ofhispanics80ofafricanamericans80ofyoungpeopleamp75ofwomenviewdonaldtrumpunfavorablyt"
"95","ikeeppostthissowecanfindeachotherdonaldtrumptrumptownhalltrumparmyifollobacfolloustytcoe"
"96","donaldtrumpistheonlyguyithinkthathasthewillampthenervetoattackamptofighttcoyxym7xi"
"97","donaldtrumptheveteransinourcountryhavebeentreatedhorriblyiknowivebeentheretrumptownhallhttp"
"98","sometimesbylosingabattleyoufindanewwaytowinthewardonaldtrumptcolfl91mvp12"
"99","donaldtrumpcantrunsquatwobribingbiggovtcroniestcovtvosnihmv"
"100","donaldtrumpsayshedtakecareofpanamaleaksiwouldmakesuretherearenoleaksanymoretcolwxpedgtt4"
"101","eitherwayhewillbetherepublicannomineetoondonaldtrumpelection2016"
"102","donaldtrumpsaidabortionshouldbeoutlawedampwomenbepunishedforitshamedumptrumpnevertrumptco1y3etcl8vm"
"103","guajardotrumpsplanspellsdoomtcowjmhlcnyiedonaldtrumppoliticstco6xlxsj4cgj"
"104","guajardotrumpsplanspellsdoomtcowjmhlcnyiedonaldtrumppoliticstco6xlxsj4cgj"
"105","poll85ofhispanics80ofafricanamericans80ofyoungpeopleamp75ofwomenviewdonaldtrumpunfavorablyt"
"106","trumpdonaldtrumptrump2016donaldtrump2016trumptraintrumptrain2016trumptrainwreckelection2016trumpistcods1me3a48q"
"107","berniesandersbernie2016feelthebernhillaryclintonchickenclintondonaldtrumpdncdemocratstco"
"108","donaldtrumpsayscongratulationsjimhermanweareallproudofyoutrumpgolftcoe5vuzczwit"
"109","donaldtrumpspeakswithconvictionampunderstandswhatsgoingonwithislamtrojanhorsemulticulturalismrefugeestcojammse3zyc"
"110","hebronpurimbrusselsbelgiumhappyholiworkfromhomebiafragermanydonaldtrumpuntcoqd"
"111","acnnmoneyanalysiscalculatesatleast34000jobsattributabletothedonaldtrumphowmanyhascruzcreatedtcousmuqxonsb"
"112","donniesfansaretoodumbtoseehowdumbheisjohnoliverripsdonaldtrumpsprofoundignoranceaboutnukestcou5x4fokw1n"
"113","manclimbsvancouverstrumptowertosenddonaldtrumpamessagediegosaulreynatcohz15wjpsqvtcoxojsm4lxl4"
"114","lollovethisdonaldtrumpdumptrumpunitebluetopproglibcribp2tntweeterstcouibptfujn5"
"115","tntweetersainfdonaldtrumpwomenmustbepunishedforhvnganabortionnbdyrespectwomenmorethanidohtt"
"116","countdowntowisconsinatippingpointforthegoptco7queunty8swisconsinprimarytedcruzdonaldtrumpwiprima"
"117","letsfindkengrossampmelissagayamptellthemhowwefeelaboutthemstealingdelegatesfromdonaldtrumptrumpvotet"
"118","reallycantdecidewhetherdonaldtrumpisafeministanswernoheismisogynypersonifiedtcoejhyvb6yob"
"119","womenhaveaproblemwithdonaldtrumpanditshugetcowatd1jr00munitebluetntweetersfeelthebernhil"
"120","videonkoreadictatorkimjongunsupportsdonaldtrumpamptrumpsaysweshouldfearhimdumptrumpnevertrumptcokdd8wu4ptw"
"121","wisconsinundecidedwhotovotefindoutwhotherealdonaldtrumpisattco9eur7qdsqdmilwaukee"
"122","hesbeenappealingtovotersalloverthecountrybecausehesnotyouraveragepoliticiantoon"
"123","poll85ofhispanics80ofafricanamericans80ofyoungpeopleamp75ofwomenviewdonaldtrumpunfavorablyt"
"124","afterseeingthisyoullnevervote4donaldtrumptcolan22obbytguyslikewillnevermake"
"125","yankeessuckthedonaldtrumpofbaseballteamstcoyeloictmtg"
"126","wouldyouvotefordonaldtrump"
"127","mttedcruzordonaldtrumponeducationissuesstopcommoncoretcottcomm82iykuvwcruzcrewpjnet"
"128","eitherwayhewillbetherepublicannomineetoondonaldtrumpelection2016"
"129","poll85ofhispanics80ofafricanamericans80ofyoungpeopleamp75ofwomenviewdonaldtrumpunfavorablyt"
"130","donaldtrumpskdwzisijegofenomentcomr6poshgjy"
"131","eitherwayhewillbetherepublicannomineetoondonaldtrumpelection2016"
"132","greghardyisthedonaldtrumpofthenflthedenialaspect"
"133","washingtonestablishmentisterrifiedthatdonaldtrumpwillinfactgetthenominationtco4c0y98"
"134","thechalkeningdonaldtrumpamericatrumptrainvotetrumpmakeamericagreatagaintrump"
"135","nevertrumpdonaldtrumptco2lpt589qek"
"136","watchlivedonaldtrump4416superiorwisconsintownhall130pmct230pmetmadisonhowardbeloit"
"137","astoryiworkedonwiththegreataboutdonaldtrumpsnewconventionmanagerandhistiestonjtco5x"
"138","donaldtrumppresidenttcotdqbwn0po3"
"139","donaldtrumpsaysagreatnightinwestalliswisconsinthankyouvotetrumpwiwiprimarytcolqwgf3v9m8"
"140","theattackondonaldtrumpandjournalistsontodaysalexjonesshowtcotkp5uqbrkq"
"141","donaldtrumpsaysagreatdayinwisconsinmanystopsmanygreatpeoplemelaniaisjoiningmeonmondaybigcrowds"
"142","atlastnightsiheartmusicawardsfrontmanbonodisseddonaldtrumplearnmoreonloudernewstcoedxluuoo47"
"143","childrenspeaktheirmindtooampcantrunforofficedumptrumpnevertrumpshamedonaldtrumptcor3gmrzldcs"
"144","iamawomanandiamvotingfordonaldtrumpwomenfortrumptcokpudh31gvh"
"145","flspsychogovrickscottendorsesdonaldtrumpdumptrumpnevertrumpbantrophyhuntingtcoh1vu02182ltcowp5fuajjuf"
"146","countdowntowisconsinatippingpointforthegoptco7queunty8swisconsinprimarytedcruzdonaldtrumpwiprima"
"147","donaldtrumphasdroppedwellbehindtedcruzinthepollsinwisconsintconcd6fubvxjtcov1kcxmeyc5"
"148","donaldtrumpinlacrosseagainwentafterkasichheoughttogetthehelloutampcruzwhotrumpsaysiscontrolledbyspecialinterests"
"149","donaldtrumpshollywoodwalkoffamestarisconstantlybeingpssedampshtontcornvyygiljmtco6fgd"
"150","donaldtrumptrumphasdescribednatoasirrelevantandobsoletemcleod"
"151","youwantarealdisasterbenseewhathappensifdonaldtrumportedcruzisthegopnomineedisasterlandslidetcokfiodru6iq"
"152","tcovhrz0d4wqiamazinggirlisswallowingadoseofcuminthecloseupdonaldtrump"
"153","tcoa7m5s6rtjoastonishingrussianchickisblowingajuicyhardprickdonaldtrump"
"154","tcoa7m5s6rtjojustfilminghowmysexyrussianbabeistakingashowerdonaldtrump"
"155","hesbeenappealingtovotersalloverthecountrybecausehesnotyouraveragepoliticiantoondonaldtrump"
"156","donaldtrumpwasright20yrsagoampstilltodayunfairtradedestroyedtheamericanmanufacturingsectorvotetrump2016"
"157","rtsignsupportalifetimebanondonaldtrumpenteringcanadadumptrumpnevertrumpdemdebatetcoh31s9a9oa7"
"158","vancouverconstructionworkerfliesmexicanflagatoptrumptowertco6gxuimvsurimmigrationdonaldtrump"
"159","tedcruzattemptstowootheladiesdonaldtrumptcocfqezhs5xttcovhk64ens0z"
"160","signrtarrestprosecutedonaldtrumpforincitingviolenceaddyoursto83kdumptrumpnevertrumpdemdebatetcoftqqgurdsq"
"161","supporterstrumptrump2016donaldtrumptrumptownhalltrumptrainmagamakeamericagreatagain"
"162","thiswashardtowatchandiguesssodonaldtrumplovestheveteransandwillhelptomagatohelpallvets"
"163","donaldtrumpshollywoodwalkoffamestarisconstantlybeingpssedampshtontcornvyygiljmtco6fgd"
"164","hereshowdonaldtrumpwilltreatelephantsifhewinsshamedumptrumpbantrophyhuntingopwhiterosetcoxocdsi5t4k"
"165","humansandtheiranimalskeeppeeingandpoopingontrumpshollywoodstardonaldtrumptcoetw5gjb930tcoij93yxew2a"
"166","endorsesdonaldtrumpampshesanavidsafariclubinternationalsupportershamedumptrumptcop1fef4bi58"
"167","naziebayitemswswastikavisitstoretcod7zjxq8u2vdonaldtrumpusatrumpforpresidenttrump2016republicansus"
"168","weneedteachersweneedbooksweneedthethatwalkertookuwmstudentsblockingdonaldtrumprallyoncampus"
"169","donaldtrumpsupportertellsprotesterstogotoauschwitzampmakesnazisalutedumptrumptcoq4q5cyx0c9tcotp4dw56pk1"
"170","watchlivedonaldtrump4416superiorwisconsintownhall130pmct230pmetmadisonhowardbeloit"
"171","donaldtrumpsayshedtakecareofpanamaleaksiwouldmakesuretherearenoleaksanymoretcolwxpedgtt4"
"172","thiswashardtowatchandiguesssodonaldtrumplovestheveteransandwillhelptomagatohelpallvets"
"173","donaldtrumptcod1w2jbidwqjapenesegirlnylonlegjobtcouucikejpjn"
"174","donaldtrumppresidenttcotdqbwn0po3"
"175","wevegotonthisweekspodcastcheckitouttvnewslivetvbreakingnewsjournalismdonaldtrump"
"176","ifitisacontestedconventiontedcruzandjohnkasichhavejustasmuchrighttothenomineeasdonaldtrumptcoe8fqpnckcy"
"177","donaldtrumponwinningwipredictsbigvictorythendontknowbcpollsrclosethenmaynotwinbcofthemachineagainstus"
"178","exemployeetellsshockingtruthaboutdonaldtrumptcoeuraactali"
"179","donaldtrumpshollywoodwalkoffamestarisconstantlybeingpssedampshtontcornvyygiljmtco6fgd"
"180","onthefaceonthefaceloveudonaldtrumptcomxa6whnjpi"
